"Found","Response Code","Content Length"
"/http/12/","504","1003"
"/privmsg/2000.txt","504","991"
"/info/A.txt","504","995"
"/info/2g.txt","504","995"
"/privs/chpwd/","504","999"
"/privs/dialog","504","993"
"/subdomains/_vti_pvt/","504","993"
"/info/2g.php","504","1001"
"/stylesheet/.htaccess/","504","999"
"/sub/.perf/","504","999"
"/theme/_db_backups","504","995"
"/http/10/","504","993"
"/psd/.mysql_history","504","997"
"/sav/200.txt","504","1003"
"/sav/20.txt","504","1001"
"/call/_vti_log/~sysadmin/","504","1003"
"/subdomains/2000.txt","504","1001"
"/psd/.mysql_history.php","504","993"
"/stylesheet/_catalogs","504","995"
"/carpet/infraction.txt","504","993"
"/sub/_vti_bin/shtml.dll.php","502","1003"
"/info/4/","502","993"
"/wedding/_conf/","504","993"
"/sub/_mem_bin/","504","1001"
"/info/96","504","987"
"/psd/.web","504","995"
"/sandbox/.htaccess.php","504","1001"
"/call/docebo/","504","991"
"/sub/bb.php","504","995"
"/carpet/sr.php","504","1003"
"/carpet/Search","504","995"
"/call/clicks.txt","504","1001"
"/call/clickout.txt","504","999"
"/http/a.txt","504","999"
"/privs/clear","504","991"
"/call/classroompages/","504","1005"
"/carpet/forgot.txt","504","993"
"/carpet/sb","504","997"
"/psd/_ajax.php","504","995"
"/privmsg/403","502","993"
"/theme/_css/","502","995"
"/Login/.cache","504","997"
"/carpet/ssh.php","504","987"
"/sandbox/_adm","504","1005"
"/info/403.php","502","995"
"/sav/2014.txt","504","993"
"/info/400.php","502","995"
"/theme/_overlay.php","504","995"
"/stylesheet/_include/","502","999"
"/stylesheet/_resources/","504","991"
"/sav/403.txt","504","995"
"/sandbox/.svn/entries.txt","504","1001"
"/zh_TW/.profile","504","1003"
"/sub/_scripts/","502","993"
"/call/dologin/","502","997"
"/wedding/_notes.php","504","1003"
"/wedding/_dev","504","989"
"/carpet/sql.php","504","1005"
"/info/accommodation/","504","993"
"/http/2g","504","995"
"/sav/25/","504","995"
"/zh_TW/.subversion","504","995"
"/zh_TW/.sh_history.php","504","1003"
"/subdomains/2008/","504","989"
"/sav/3g.php","504","997"
"/http/2010","504","999"
"/call/deletion.txt","504","993"
"/call/_vti_log/200/","504","993"
"/stylesheet/_styles","504","997"
"/carpet/happening.txt","504","1001"
"/zh_TW/_baks.txt","504","995"
"/info/abcd1234/","502","991"
"/carpet/internal.txt","504","991"
"/subdomains/50.php","502","995"
"/subdomains/9.txt","504","991"
"/sav/2006","502","995"
"/psd/_net/","504","999"
"/sandbox/_images","504","993"
"/carpet/startpage.php","504","999"
"/info/_include","504","995"
"/info/acp","504","993"
"/theme/_vti_cnf","504","1001"
"/http/about-us/","504","997"
"/privmsg/account_edit","504","997"
"/sandbox/_install/","504","993"
"/ucenter/.htpasswd","504","993"
"/wedding/_stats/","504","993"
"/Login/_archive","504","991"
"/psd/_stats.txt","504","993"
"/sav/300","504","997"
"/sandbox/_mmserverscripts/","504","1001"
"/privmsg/acc.txt","504","1001"
"/http/_vti_inf.php","504","995"
"/subdomains/2009/","504","997"
"/info/2008/","504","995"
"/privs/contactus.php","504","995"
"/wedding/_reports","504","993"
"/theme/_.php","504","993"
"/carpet/inf.txt","504","995"
"/privmsg/_includes/","504","995"
"/stylesheet/_code/","504","995"
"/zh_TW/.ssh.php","504","1003"
"/index/.bash_history.txt","504","993"
"/sex/~http/","502","995"
"/sandbox/_inc.txt","504","991"
"/http/acc","502","991"
"/stylesheet/_vti_bin/_vti_adm/admin.dll/","502","991"
"/wedding/_pages.php","504","995"
"/call/_vti_log/21/","504","999"
"/privs/compat/","504","993"
"/sandbox/_net/","504","991"
"/privmsg/~httpd","504","991"
"/privs/ckeditor.php","504","991"
"/carpet/skin.php","504","1001"
"/sav/_mmserverscripts/","504","993"
"/sav/_swf.txt","504","999"
"/sav/_styles.txt","504","997"
"/http/addreply.txt","504","1001"
"/privs/computing/","504","991"
"/privs/ebriefs","504","995"
"/sandbox/_files.php","502","995"
"/call/demo2/","504","993"
"/privs/Default","504","995"
"/roam/.htpasswd.txt","502","1001"
"/ucenter/_archive.txt","502","999"
"/ucenter/_.php","504","991"
"/maven/.git/HEAD","504","987"
"/stylesheet/0/","504","997"
"/zh_TW/_stats.php","504","991"
"/sandbox/_temp.txt","504","989"
"/theme/08/","504","995"
"/index/.web.txt","504","999"
"/sav/access-log.1.php","504","1003"
"/cardinalform/.config.php","502","991"
"/maven/.passwd/","504","993"
"/zh_TW/_dev","502","993"
"/Login/_mm.php","504","999"
"/sandbox/~admin","504","997"
"/subdomains/adaptive.php","504","997"
"/sav/act.txt","502","995"
"/subdomains/address.php","504","997"
"/roam/_derived/","504","993"
"/psd/05.txt","504","993"
"/index.htm/_backup","504","999"
"/sav/accounts","504","995"
"/ucenter/_mem_bin","502","995"
"/cardinalform/_dev.php","504","991"
"/maven/_borders.txt","504","995"
"/sav/adaptive/","504","991"
"/http/addpost/","502","993"
